50,39.994139,-0.068957,143.000,0.000,44.0,0.5,6,5
51,39.994140,-0.068978,147.000,0.000,39.0,0.1,6,4
52,39.994068,-0.069031,149.000,0.000,32.0,0.4,6,4
53,39.994031,-0.069068,143.000,262.800,30.0,0.7,6,4
54,39.994029,-0.069076,140.000,257.800,34.0,1.0,6,5
55,39.994028,-0.069073,140.000,246.700,32.0,0.7,6,5
56,39.994027,-0.069072,138.000,243.000,34.0,0.6,6,5
80,39.994302,-0.069400,131.000,338.200,33.0,1.1,7,5
81,39.994288,-0.069420,129.000,339.200,35.0,1.0,7,4
82,39.994288,-0.069453,128.000,337.300,38.0,1.4,7,4
83,39.994319,-0.069480,127.000,337.700,36.0,2.1,7,4
84,39.994328,-0.069486,126.000,345.700,35.0,1.6,7,4
85,39.994330,-0.069500,126.000,344.800,36.0,1.1,7,5
86,39.994358,-0.069484,124.000,347.300,36.0,1.4,7,4
87,39.994346,-0.069521,125.000,335.900,33.0,1.7,8,4
88,39.994351,-0.069505,128.000,338.900,34.0,0.8,8,4
89,39.994357,-0.069526,128.000,339.400,35.0,0.4,8,4
90,39.994354,-0.069534,129.000,339.900,39.0,0.6,7,4
165,39.993760,-0.069278,155.000,145.000,95.0,1.9,6,4
166,39.993729,-0.069281,161.000,105.000,38.0,2.7,6,4
168,39.993754,-0.069235,164.000,62.100,54.0,1.8,6,4
169,39.993793,-0.069197,173.000,34.200,56.0,4.5,6,4
170,39.993849,-0.069179,175.000,17.000,55.0,5.0,6,4
288,39.993959,-0.069487,108.000,72.400,32.0,1.4,6,5
289,39.993964,-0.069468,113.000,77.000,36.0,1.4,5,5
290,39.993982,-0.069383,116.000,78.500,25.0,1.5,4,4
291,39.993985,-0.069370,123.000,82.100,29.0,0.8,5,5
292,39.993987,-0.069348,125.000,84.900,27.0,1.0,5,5
293,39.993983,-0.069335,126.000,88.000,28.0,1.0,8,5
294,39.993987,-0.069316,128.000,88.500,32.0,1.0,8,5
295,39.993998,-0.069285,131.000,88.900,32.0,1.1,8,5
296,39.993998,-0.069274,133.000,94.800,32.0,0.7,8,5
297,39.993998,-0.069279,133.000,92.000,35.0,0.1,8,5
298,39.993991,-0.069280,132.000,93.600,37.0,0.4,8,5
299,39.993992,-0.069279,132.000,88.800,36.0,0.6,8,5
300,39.993985,-0.069281,132.000,87.900,40.0,0.1,8,5
301,39.993979,-0.069291,130.000,87.600,40.0,0.2,9,5
302,39.993981,-0.069285,130.000,88.000,41.0,0.5,9,5
303,39.993986,-0.069286,129.000,79.300,41.0,0.6,9,5
304,39.993989,-0.069296,128.000,66.800,40.0,0.6,7,5
305,39.993994,-0.069306,127.000,52.800,41.0,0.8,7,5
306,39.993994,-0.069309,126.000,50.700,42.0,0.5,7,5
307,39.994014,-0.069292,124.000,48.500,37.0,0.4,7,5
308,39.994020,-0.069283,124.000,46.400,35.0,0.4,8,5
309,39.994036,-0.069266,125.000,41.300,39.0,0.5,8,5
310,39.994043,-0.069263,127.000,30.100,40.0,0.8,8,5
311,39.994045,-0.069261,127.000,26.900,42.0,0.4,10,5
312,39.994053,-0.069253,127.000,22.700,42.0,0.5,9,5
313,39.994056,-0.069245,126.000,22.000,40.0,0.8,10,5
314,39.994064,-0.069236,127.000,17.600,39.0,0.8,10,5
315,39.994077,-0.069228,128.000,14.200,37.0,0.5,10,5
316,39.994089,-0.069217,129.000,10.900,36.0,0.3,9,5
317,39.994089,-0.069242,128.000,7.700,35.0,0.3,9,5
318,39.994090,-0.069259,127.000,0.000,37.0,0.0,9,5
319,39.994084,-0.069263,126.000,16.900,40.0,0.2,8,5
320,39.994028,-0.069242,124.000,16.000,35.0,0.3,7,4
321,39.994031,-0.069237,124.000,16.700,35.0,0.2,7,5
322,39.994032,-0.069230,124.000,0.000,34.0,0.0,6,5
323,39.994035,-0.069210,124.000,17.000,35.0,0.5,5,5
324,39.994044,-0.069195,126.000,16.600,36.0,0.2,5,5
325,39.994044,-0.069182,126.000,16.800,36.0,0.2,5,5
326,39.994050,-0.069166,127.000,16.500,37.0,0.4,5,5
327,39.994059,-0.069151,128.000,16.200,37.0,0.4,5,5
328,39.994068,-0.069142,129.000,16.000,37.0,0.5,5,5
329,39.994076,-0.069128,129.000,21.400,37.0,0.6,5,5
330,39.994087,-0.069112,130.000,23.900,38.0,0.6,5,5
331,39.994094,-0.069099,130.000,30.000,38.0,0.6,5,5
332,39.994105,-0.069083,131.000,32.100,38.0,0.5,5,5
333,39.994111,-0.069070,131.000,33.300,36.0,0.6,5,5
334,39.994117,-0.069052,132.000,38.600,36.0,0.6,5,5
335,39.994125,-0.069037,133.000,43.200,36.0,0.6,5,5
336,39.994134,-0.069026,133.000,42.000,40.0,0.6,5,5
337,39.994147,-0.069009,133.000,41.000,39.0,0.7,5,5
338,39.994150,-0.069005,134.000,37.000,39.0,0.6,5,5
339,39.994162,-0.068985,134.000,38.900,39.0,0.6,5,5
340,39.994169,-0.068975,133.000,45.200,39.0,0.7,5,5
341,39.994171,-0.068979,133.000,49.600,38.0,0.5,5,5
342,39.994174,-0.068974,133.000,51.200,39.0,0.4,5,5
343,39.994176,-0.068969,133.000,52.800,39.0,0.3,5,5
344,39.994180,-0.068959,133.000,0.000,39.0,0.0,5,5
345,39.994180,-0.068959,133.000,0.000,39.0,0.0,5,5
346,39.994180,-0.068959,133.000,0.000,39.0,0.0,5,5
347,39.994180,-0.068959,133.000,0.000,39.0,0.0,5,5
348,39.994186,-0.068940,133.000,51.300,40.0,0.6,5,5
349,39.994187,-0.068932,134.000,54.700,40.0,0.7,5,5
350,39.994181,-0.068926,134.000,59.300,39.0,0.6,5,5
351,39.994079,-0.068923,136.000,60.000,33.0,0.4,5,4
352,39.994058,-0.068894,136.000,69.300,30.0,1.0,5,4
353,39.994065,-0.068900,137.000,70.700,32.0,0.6,5,5
354,39.994069,-0.068900,137.000,69.100,33.0,0.6,5,5
355,39.994075,-0.068887,138.000,71.000,33.0,1.0,5,5
356,39.994086,-0.068872,139.000,70.100,34.0,1.2,6,5
358,39.994136,-0.068886,140.000,61.500,33.0,1.1,6,4
359,39.994145,-0.068910,141.000,55.900,33.0,1.0,6,4
360,39.994125,-0.068932,141.000,55.200,32.0,0.8,6,4
